AlbumRefId,ArtifactRefId,Description
affd8c84-4581-46e1-8b79-56441f89e80e,80ade78e-d7cc-4e4b-a639-189379ca8e28,
affd8c84-4581-46e1-8b79-56441f89e80e,d1f86bc0-ce4c-4672-ab1c-efb21bc6c9a2,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,022b523a-75b3-41e5-aaee-ed9e27d512d8,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,60511f0c-e20b-42bf-80db-3c0854df5cf5,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,90131bdd-844c-4f7d-879e-3adc0d8e73d4,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,3057d239-0ab3-4e8b-95d3-755ca9b14509,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,28a0fa5d-d0ef-4b7f-91a0-85a19777364f,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,74b7e6e8-06ad-4677-ba9e-ee1b8ac5fea4,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,910a2936-7e6d-4620-8783-1343b2763857,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,c1bf11d0-70f6-4017-b361-e6f2a8f402e1,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,128681b5-2322-4725-a569-a9fbcdc5d76b,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,da64e4ee-07a0-4d04-8016-2d4e03a037a6,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,ba0c06b0-fdff-46c8-8205-df995ef2e688,
7de2c76e-9b10-48e5-89cc-1620cebe67ba,a0cc53a5-0fc9-4642-bbe6-6af8b1a30419,
2e298971-e776-4aaf-a295-33fa52f56634,18d40f96-fbb3-4669-81a9-1f69da9ed7c4,
2e298971-e776-4aaf-a295-33fa52f56634,f21dc3eb-e41f-442c-ad3d-d8e11869f650,
2e298971-e776-4aaf-a295-33fa52f56634,cfdee895-5929-4d22-9afc-1787cb925d25,
2e298971-e776-4aaf-a295-33fa52f56634,c8a00ea8-98d1-49d2-a9b8-5d5af240a009,
2e298971-e776-4aaf-a295-33fa52f56634,df93f956-b713-49cc-9cba-905235588e57,
2e298971-e776-4aaf-a295-33fa52f56634,c7e1bde2-b805-4943-befd-7cf9e650c558,
2e298971-e776-4aaf-a295-33fa52f56634,6095e90b-96dc-437a-be4d-1b8164903753,
