Id,FirstName,LastName,YearDied,Type,Score,Rank,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,DeletedDate,DeletedBy
422,Peter,Coulson,,"[photography,monochromatic,portrait,nudity]",0,0,0001-01-01,2,0001-01-01,2,,
423,Gustave,Courbet,1877,"[realism,romanticism,portrait,scene]",0,0,0001-01-01,2,0001-01-01,2,,
424,Clayton,Crain,,"[comics,digital]",0,0,0001-01-01,2,0001-01-01,2,,
425,Lucas,Cranach the Elder,1553,"[renaissance,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
426,Lucas,Cranach the Younger,1586,"[renaissance,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
427,Walter,Crane,1915,"[detailed,art nouveau]",0,0,0001-01-01,2,0001-01-01,2,,
428,,Craola,,"[surrealism,whimsical]",0,0,0001-01-01,2,0001-01-01,2,,
429,Martin,Creed,,"[installation,abstract,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
430,Michael,Creese,,"[impressionism,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
431,Guido,Crepax,2003,"[comics,high contrast,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
432,Gregory,Crewdson,,"[photography,surrealism,dark]",0,0,0001-01-01,2,0001-01-01,2,,
433,Debbie,Criswell,,"[vibrant,cartoon,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
434,Carlo,Crivelli,1495,"[renaissance,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
435,Henri-Edmond,Cross,1910,"[abstract,colorful,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
436,Victoria,Crowe,,"[landscape,portrait,figurativism]",0,0,0001-01-01,2,0001-01-01,2,,
437,George,Cruikshank,1878,"[cartoon,comics]",0,0,0001-01-01,2,0001-01-01,2,,
438,Robert,Crumb,,"[detailed,comics,character]",0,0,0001-01-01,2,0001-01-01,2,,
439,Chris,Cunningham,,"[horror,photography,dark]",0,0,0001-01-01,2,0001-01-01,2,,
440,John,Currin,,"[figurativism,portrait,character]",0,0,0001-01-01,2,0001-01-01,2,,
441,Krenz,Cushart,,"[digital,anime,manga,character,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
442,Camilla,d'Errico,,"[surrealism,whimsical,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
443,Pietro,da Cortona,1669,"[baroque,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
444,Leonardo,da Vinci,1519,"[renaissance,scene]",0,0,0001-01-01,2,0001-01-01,2,,
445,Richard,Dadd,1886,"[dark,impressionist,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
446,Pino,Daeni,2010,"[romanticism,figurativism,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
447,Johan Christian,Dahl,1857,"[landscape,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
448,Louise,Dahl-Wolfe,1989,"[photography,scene,character]",0,0,0001-01-01,2,0001-01-01,2,,
449,Sherree Valentine,Daines,,"[impressionism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
450,Salvador,Dali,1989,"[surrealism,dark]",0,0,0001-01-01,2,0001-01-01,2,,
451,Farel,Dalrymple,,"[whimsical,detailed,watercolor]",0,0,0001-01-01,2,0001-01-01,2,,
452,Henry,Darger,1973,"[primitivism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
453,Geof,Darrow,,"[comics,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
454,Charles-Francois,Daubigny,1878,"[landscape,realism,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
455,Honore,Daumier,1879,"[realism,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
456,Russell,Dauterman,,"[comics,character]",0,0,0001-01-01,2,0001-01-01,2,,
457,Ian,Davenport,,"[abstract,colorful,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
458,Gerard,David,1523,"[renaissance]",0,0,0001-01-01,2,0001-01-01,2,,
459,Jacques-Louis,David,1825,"[romanticism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
460,Bruce,Davidson,,"[photography]",0,0,0001-01-01,2,0001-01-01,2,,
461,Jack,Davis,2016,"[cartoon,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
462,Jim,Davis,,"[cartoon]",0,0,0001-01-01,2,0001-01-01,2,,
463,Marc,Davis,2000,"[cartoon,storybook realism]",0,0,0001-01-01,2,0001-01-01,2,,
464,Stuart,Davis,1964,"[cubism,abstract]",0,0,0001-01-01,2,0001-01-01,2,,
465,Craig,Davison,,"[character,scene,cartoon]",0,0,0001-01-01,2,0001-01-01,2,,
466,Gabriel,Dawe,,"[installation,light,colorful]",0,0,0001-01-01,2,0001-01-01,2,,
467,Walter Percy,Day,1965,"[landscape,scene]",0,0,0001-01-01,2,0001-01-01,2,,
468,Diego,Dayer,,"[realism,figurativism,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
469,Valentin,de Boulogne,1632,"[baroque,scene]",0,0,0001-01-01,2,0001-01-01,2,,
