Id,FirstName,LastName,YearDied,Type,Score,Rank,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,DeletedDate,DeletedBy
623,Cerith Wyn,Evans,,"[sculpture,installation,light]",0,0,0001-01-01,2,0001-01-01,2,,
624,Walker,Evans,1975,"[photography,monochromatic,realism]",0,0,0001-01-01,2,0001-01-01,2,,
625,Adrianus,Eversen,1897,"[cityscape,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
626,Glenn,Fabry,,"[fantasy,sci-fi,comics]",0,0,0001-01-01,2,0001-01-01,2,,
627,Anton,Fadeev,,"[landscape,digital]",0,0,0001-01-01,2,0001-01-01,2,,
628,Shepard,Fairey,,"[high contrast,graphic design]",0,0,0001-01-01,2,0001-01-01,2,,
629,Andy,Fairhurst,,"[sci-fi,fantasy,horror,digital]",0,0,0001-01-01,2,0001-01-01,2,,
630,Luis Ricardo,Falero,1896,"[figurativism,fantasy,nudity]",0,0,0001-01-01,2,0001-01-01,2,,
631,John Philip,Falter,1982,"[clean,scene,realism]",0,0,0001-01-01,2,0001-01-01,2,,
632,Henri,Fantin-Latour,1904,"[flowers,realism,symbolism]",0,0,0001-01-01,2,0001-01-01,2,,
633,Joseph,Farquharson,1935,"[landscape]",0,0,0001-01-01,2,0001-01-01,2,,
634,Iain,Faulkner,,"[monochromatic,scene,figurativism]",0,0,0001-01-01,2,0001-01-01,2,,
635,Louis,Faurer,2001,"[photography,moonochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
636,Lauren,Faust,,"[cartoon,anime,character]",0,0,0001-01-01,2,0001-01-01,2,,
637,Mary,Fedden,2012,"[still life,flowers,primitivism]",0,0,0001-01-01,2,0001-01-01,2,,
638,Sverre,Fehn,2009,"[architecture]",0,0,0001-01-01,2,0001-01-01,2,,
639,Lyonel,Feininger,1953,"[expressionism,angular,cubism]",0,0,0001-01-01,2,0001-01-01,2,,
640,Lorser,Feitelson,1978,"[surrealism,abstract,angular,flat colors]",0,0,0001-01-01,2,0001-01-01,2,,
641,Al,Feldstein,2014,"[comics,detailed,scene]",0,0,0001-01-01,2,0001-01-01,2,,
642,Joe,Fenton,,"[dark,whimsical,surrealism,detailed,monochromatic,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
643,Andrew,Ferez,,"[surrealism,fantasy,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
644,Roberto,Ferri,,"[baroque,romanticism,nudity]",0,0,0001-01-01,2,0001-01-01,2,,
645,Emil,Ferris,,"[cartoon,horror]",0,0,0001-01-01,2,0001-01-01,2,,
646,Hugh,Ferriss,1962,"[cityscape,architecture,art deco]",0,0,0001-01-01,2,0001-01-01,2,,
647,Luke,Fildes,1927,"[realism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
648,David,Finch,,"[detailed,comics,fantasy]",0,0,0001-01-01,2,0001-01-01,2,,
649,Leonor,Fini,1996,"[surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
650,Callie,Fink,,"[psychedelic,vibrant,colorful,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
651,Larry,Fink,,"[photography,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
652,Virgil,Finlay,1971,"[comics,sci-fi,fantasy,horror,dark,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
653,Anato,Finnstark,,"[digital,fantasy,scene]",0,0,0001-01-01,2,0001-01-01,2,,
654,Howard,Finster,2001,"[primitivism,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
655,Anton Otto,Fischer,1962,"[character,scene]",0,0,0001-01-01,2,0001-01-01,2,,
656,Paul Gustav,Fischer,1934,"[character,landscape,scene]",0,0,0001-01-01,2,0001-01-01,2,,
657,Oskar,Fischinger,1967,"[abstract,vibrant,colorful]",0,0,0001-01-01,2,0001-01-01,2,,
658,Eric,Fischl,,"[realism,expressionism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
659,Samuel Melton,Fisher,1939,"[impressionism,portrait,flowers,scene]",0,0,0001-01-01,2,0001-01-01,2,,
660,John Anster,Fitzgerald,1906,"[detailed,fantasy,whimsical,scene]",0,0,0001-01-01,2,0001-01-01,2,,
661,Tony,Fitzpatrick,,"[collage,vibrant,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
662,Hippolyte,Flandrin,1864,"[renaissance,romanticism,baroque,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
663,Dan,Flavin,1996,"[installation,light]",0,0,0001-01-01,2,0001-01-01,2,,
664,Max,Fleischer,1972,"[cartoon]",0,0,0001-01-01,2,0001-01-01,2,,
665,Govaert,Flinck,1660,"[baroque,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
666,Alex Russell,Flint,,"[portrait,scene,realism,figurativism]",0,0,0001-01-01,2,0001-01-01,2,,
667,William Russell,Flint,1969,"[watercolor,scene,nudity]",0,0,0001-01-01,2,0001-01-01,2,,
668,Maia,Flore,,"[photography,whimsical,scene]",0,0,0001-01-01,2,0001-01-01,2,,
669,Frans,Floris,1570,"[renaissance]",0,0,0001-01-01,2,0001-01-01,2,,
670,Kaja,Foglio,,"[whimsical,cartoon]",0,0,0001-01-01,2,0001-01-01,2,,
671,Phil,Foglio,,"[whimsical,cartoon]",0,0,0001-01-01,2,0001-01-01,2,,
672,Fernand,Fonssagrives,2003,"[photography,monochromatic,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
673,Franco,Fontana,,"[abstract,landscape,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
674,Lavinia,Fontana,1614,"[renaissance,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
675,Lucio,Fontana,1968,"[abstract,sculpture,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
676,Jean-Louis,Forain,1931,"[impressionism,expressionism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
677,Stanhope,Forbes,1947,"[landscape,scene,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
678,Henry Justice,Ford,1941,"[art nouveau,romanticism,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
679,Eleanor,Fortescue-Brickdale,1945,"[romanticism,scene,character]",0,0,0001-01-01,2,0001-01-01,2,,
680,Chris,Foss,,"[vibrant,sci-fi,space]",0,0,0001-01-01,2,0001-01-01,2,,
681,Hal,Foster,,"[comics,clean,detailed,scene]",0,0,0001-01-01,2,0001-01-01,2,,
682,Jon,Foster,,"[digital,portrait,scene]",0,0,0001-01-01,2,0001-01-01,2,,
683,Myles Birket,Foster,1899,"[watercolor,landscape,scene,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
684,Norman,Foster,,"[architecture]",0,0,0001-01-01,2,0001-01-01,2,,
685,Jean,Fouquet,1481,"[renaissance,scene]",0,0,0001-01-01,2,0001-01-01,2,,
686,Toby,Fox,,"[digital,cartoon]",0,0,0001-01-01,2,0001-01-01,2,,
687,Matt,Fraction,,"[comics,character,scene]",0,0,0001-01-01,2,0001-01-01,2,,
688,Alexandre-Evariste,Fragonard,1850,"[baroque,romanticism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
689,Jean-Honore,Fragonard,1806,"[baroque,impressionism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
690,Art,Frahm,1981,"[portrait,character]",0,0,0001-01-01,2,0001-01-01,2,,
691,Sam,Francis,1994,"[abstract,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
692,Frans,Francken the Younger,1642,"[baroque,scene]",0,0,0001-01-01,2,0001-01-01,2,,
693,Lisa,Frank,,"[whimsical,vibrant,colorful]",0,0,0001-01-01,2,0001-01-01,2,,
694,Andreas,Franke,,"[photography,scene,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
695,Helen,Frankenthaler,2011,"[abstract,expressionism,watercolor]",0,0,0001-01-01,2,0001-01-01,2,,
696,Frank,Frazetta,2010,"[fantasy,dark,scene]",0,0,0001-01-01,2,0001-01-01,2,,
697,Kelly,Freas,2005,"[sci-fi,fantasy]",0,0,0001-01-01,2,0001-01-01,2,,
698,Ed,Freeman,,"[photography,nudity,figurativism,architecture]",0,0,0001-01-01,2,0001-01-01,2,,
699,Lucian,Freud,2011,"[portrait,expressionism,realism]",0,0,0001-01-01,2,0001-01-01,2,,
700,Caspar David,Friedrich,1840,"[landscape,dark,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
701,Chris,Friel,,"[dark,photography,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
702,Frederick Carl,Frieseke,1939,"[impressionism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
703,Toni,Frissell,1988,"[photography,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
704,William Powell,Frith,1909,"[romanticism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
705,Brian,Froud,,"[fantasy,dark,whimsical]",0,0,0001-01-01,2,0001-01-01,2,,
706,Wendy,Froud,,"[fantasy,dark,whimsical]",0,0,0001-01-01,2,0001-01-01,2,,
707,Tom,Fruin,,"[sculpture,stained glass,architecture,installation,light,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
708,Ando,Fuchs,,"[photography,monochromatic,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
709,Ernst,Fuchs,2015,"[textured,detailed,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
710,Sou,Fujimoto,,"[architecture,angular,cubism]",0,0,0001-01-01,2,0001-01-01,2,,
711,Goro,Fujita,,"[whimsical,3D,cartoon]",0,0,0001-01-01,2,0001-01-01,2,,
712,Buckminster,Fuller,1983,"[architecture]",0,0,0001-01-01,2,0001-01-01,2,,
713,Paul,Fusco,,"[photography]",0,0,0001-01-01,2,0001-01-01,2,,
714,Henry,Fuseli,1825,"[romanticism,scene,high contrast,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
715,John Wayne,Gacy,1994,"[vibrant,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
716,Elizabeth,Gadd,,"[photography,landscape,scene]",0,0,0001-01-01,2,0001-01-01,2,,
717,Eduard,Gaertner,1877,"[cityscape]",0,0,0001-01-01,2,0001-01-01,2,,
718,Neil,Gaiman,,"[comics,portrait,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
719,Thomas,Gainsborough,1788,"[romanticism,renaissance,landscape,scene]",0,0,0001-01-01,2,0001-01-01,2,,
720,Emile,Galle,1904,"[art nouveau]",0,0,0001-01-01,2,0001-01-01,2,,
721,Stephen,Gammell,,"[dark,children's illustration,high contrast,horror]",0,0,0001-01-01,2,0001-01-01,2,,
722,Hope,Gangloff,,"[high contrast,vibrant,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
723,Alex,Garant,,"[portrait,figurativism,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
724,Daniel,Garber,1958,"[impressionism,landscape,realism]",0,0,0001-01-01,2,0001-01-01,2,,
725,Gilbert,Garcin,2020,"[photography,monochromatic,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
726,Inessa,Garmash,,"[portrait,impressionism,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
727,Michael,Garmash,,"[impressionism,scene,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
728,Antoni,Gaudi,1926,"[architecture,angular]",0,0,0001-01-01,2,0001-01-01,2,,
729,Jack,Gaughan,1985,"[sci-fi,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
730,Paul,Gauguin,1903,"[impressionism,primitivism,symbolism]",0,0,0001-01-01,2,0001-01-01,2,,
731,Giovanni Battista,Gaulli,1709,"[baroque,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
732,Nikolai,Ge,1894,"[symbolism,romanticism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
733,Emma,Geary,,"[portrait,cartoon]",0,0,0001-01-01,2,0001-01-01,2,,
734,Anne,Geddes,,"[photography,nudity,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
735,Jeremy,Geddes,,"[photography,surrealism,dark]",0,0,0001-01-01,2,0001-01-01,2,,
736,Frank,Gehry,,"[architecture,cubism]",0,0,0001-01-01,2,0001-01-01,2,,
737,Bill,Gekas,,"[photography,portrait,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
738,Artemisia,Gentileschi,1653,"[baroque,renaissance,scene,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
739,Orazio,Gentileschi,1639,"[baroque,scene,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
740,Justin,Gerard,,"[fantasy,whimsical,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
741,Daniel F.,Gerhartz,,"[impressionism,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
742,Theodore,Gericault,1824,"[romanticism,dark,scene,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
743,Jean-Leon,Gerome,1904,"[romanticism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
744,Karl,Gerstner,2017,"[graphic design,vibrant,abstract,colorful]",0,0,0001-01-01,2,0001-01-01,2,,
745,Mark,Gertler,1939,"[figurativism,portrait,still life]",0,0,0001-01-01,2,0001-01-01,2,,
746,Stefan,Gesell,,"[photography,dark,character,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
747,Atey,Ghailan,,"[digital,anime,scene]",0,0,0001-01-01,2,0001-01-01,2,,
748,Adrian,Ghenie,,"[messy,abstract,expressionism,baroque]",0,0,0001-01-01,2,0001-01-01,2,,
749,Alberto,Giacometti,1966,"[sculpture,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
750,Donato,Giancola,,"[fantasy,sci-fi,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
751,Dave,Gibbons,,"[comics]",0,0,0001-01-01,2,0001-01-01,2,,
752,Sanford Robinson,Gifford,1880,"[landscape,luminism]",0,0,0001-01-01,2,0001-01-01,2,,
753,H. R. (Hans Ruedi),Giger,2014,"[sci-fi,dark,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
754,James,Gilleard,,"[digital,architecture,vibrant,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
755,Kieron,Gillen,,"[comics]",0,0,0001-01-01,2,0001-01-01,2,,
756,Leticia,Gillett,,"[digital,character,3D]",0,0,0001-01-01,2,0001-01-01,2,,
757,Sam,Gilliam,2022,"[abstract,installation,textile]",0,0,0001-01-01,2,0001-01-01,2,,
758,Liam,Gillick,,"[abstract,installation]",0,0,0001-01-01,2,0001-01-01,2,,
759,Robert,Gillmor,2022,"[animals]",0,0,0001-01-01,2,0001-01-01,2,,
760,James,Gillray,1815,"[cartoon,scene]",0,0,0001-01-01,2,0001-01-01,2,,
761,Harold,Gilman,1919,"[portrait,landscape,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
762,Charles,Ginner,1952,"[vibrant,landscape,cityscape,scene]",0,0,0001-01-01,2,0001-01-01,2,,
763,Luca,Giordano,1705,"[baroque]",0,0,0001-01-01,2,0001-01-01,2,,
764,,Giorgione,1510,"[renaissance]",0,0,0001-01-01,2,0001-01-01,2,,
765,,Giotto,1337,"[renaissance]",0,0,0001-01-01,2,0001-01-01,2,,
766,Greg,Girard,,"[photography,streetscape,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
767,Eugene,Girardet,1907,"[romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
768,Eugene,Giraud,1881,"[realism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
769,Jean,Giraud,2012,"[comics,psychedelic,surrealism,fantasy,sci-fi]",0,0,0001-01-01,2,0001-01-01,2,,
770,Anne-Louis,Girodet,1824,"[romanticism,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
771,William James,Glackens,1938,"[impressionism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
772,Milton,Glaser,2020,"[graphic design,vibrant,colorful]",0,0,0001-01-01,2,0001-01-01,2,,
773,Albert,Gleizes,1953,"[cubism,angular]",0,0,0001-01-01,2,0001-01-01,2,,
774,Alfred Augustus,Glendening,1907,"[landscape,scene]",0,0,0001-01-01,2,0001-01-01,2,,
775,Lucy,Glendinning,,"[sculpture]",0,0,0001-01-01,2,0001-01-01,2,,
776,Burt,Glinn,2008,"[photography,scene,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
777,Seth,Globepainter,,"[street art,cartoon]",0,0,0001-01-01,2,0001-01-01,2,,
778,Gerhard,Gluck,,"[scene]",0,0,0001-01-01,2,0001-01-01,2,,
779,Grigory,Gluckmann,1973,"[impressionism,figurativism]",0,0,0001-01-01,2,0001-01-01,2,,
780,Warwick,Goble,1943,"[whimsical,art nouveau,children's illustration]",0,0,0001-01-01,2,0001-01-01,2,,
781,John William,Godward,1922,"[romanticism,portrait,character,scene]",0,0,0001-01-01,2,0001-01-01,2,,
782,Fay,Godwin,2005,"[landscape,photography,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
783,Basil,Gogos,2017,"[portrait,dark]",0,0,0001-01-01,2,0001-01-01,2,,
784,Emek,Golan,,"[detailed,surrealism,psychedelic]",0,0,0001-01-01,2,0001-01-01,2,,
785,Sacha,Goldberger,,"[photography,portrait,character]",0,0,0001-01-01,2,0001-01-01,2,,
786,David,Goldblatt,2018,"[photography,monochromatic,scene,melanin]",0,0,0001-01-01,2,0001-01-01,2,,
787,Nan,Goldin,,"[photography,portrait,scene]",0,0,0001-01-01,2,0001-01-01,2,,
788,Andy,Goldsworthy,1956,"[photography,installation,nature]",0,0,0001-01-01,2,0001-01-01,2,,
789,Hendrick,Goltzius,1617,"[baroque,high contrast,scene]",0,0,0001-01-01,2,0001-01-01,2,,
790,Natalia,Goncharova,1962,"[abstract,cubism,primitivism]",0,0,0001-01-01,2,0001-01-01,2,,
791,Rob,Gonsalves,2017,"[magic realism,surrealism,cloudscape]",0,0,0001-01-01,2,0001-01-01,2,,
792,Josan,Gonzalez,,"[sci-fi,clean,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
793,Felix,Gonzalez-Torres,1996,"[installation]",0,0,0001-01-01,2,0001-01-01,2,,
794,Frederick,Goodall,1904,"[romanticism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
795,Albert,Goodwin,1918,"[landscape,watercolor,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
796,Ben,Goossens,,"[surrealism,photography]",0,0,0001-01-01,2,0001-01-01,2,,
797,Evgeni,Gordiets,,"[surrealism,landscape,scene]",0,0,0001-01-01,2,0001-01-01,2,,
798,Misha,Gordin,2020,"[surrealism,photography,monochromatic,dark]",0,0,0001-01-01,2,0001-01-01,2,,
799,Derek,Gores,,"[collage,colorful,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
800,Edward,Gorey,2000,"[high contrast,monochromatic,dark,children's illustration]",0,0,0001-01-01,2,0001-01-01,2,,
801,Arshile,Gorky,1948,"[abstract,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
802,Antony,Gormley,,"[sculpture]",0,0,0001-01-01,2,0001-01-01,2,,
803,Hein,Gorny,1967,"[photography,high contrast,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
804,Alessandro,Gottardo,,"[clean,scene,flat colors,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
805,Adolph,Gottlieb,1974,"[abstract,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
806,Francisco,Goya,1828,"[romanticism,portrait,scene]",0,0,0001-01-01,2,0001-01-01,2,,
807,Scarlett Hooft,Graafland,,"[photography,landscape,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
808,Carrie,Graber,,"[figurativism,scene,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
809,J. J.,Grandville,1847,"[detailed,scene]",0,0,0001-01-01,2,0001-01-01,2,,
810,Adi,Granov,,"[comics,detailed,character]",0,0,0001-01-01,2,0001-01-01,2,,
811,Eugene,Grasset,1917,"[art nouveau,stained glass,scene]",0,0,0001-01-01,2,0001-01-01,2,,
812,Laurent,Grasso,,"[surrealism,nature,installation]",0,0,0001-01-01,2,0001-01-01,2,,
813,Jane,Graverol,1984,"[surrealism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
814,Abbott Fuller,Graves,1936,"[impressionism,scene,still life]",0,0,0001-01-01,2,0001-01-01,2,,
815,Mab,Graves,,"[surrealism,scene,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
816,Eileen,Gray,1976,"[architecture,angular,bauhaus]",0,0,0001-01-01,2,0001-01-01,2,,
817,Laurie,Greasley,,"[comics,clean,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
818,Kate,Greenaway,1901,"[art nouveau,children's illustration]",0,0,0001-01-01,2,0001-01-01,2,,
819,Lois,Greenfield,,"[photography,scene]",0,0,0001-01-01,2,0001-01-01,2,,
820,Kenne,Gregoire,,"[realism,surrealism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
821,Martin,Grelle,,"[animals,scene,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
822,Alex,Grey,,"[detailed,psychedelic,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
823,Peter,Gric,,"[surrealism,dark,detailed]",0,0,0001-01-01,2,0001-01-01,2,,
824,Carne,Griffiths,,"[messy,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
825,Boris,Grigoriev,1939,"[expressionism,cubism,fauvism]",0,0,0001-01-01,2,0001-01-01,2,,
826,Gris,Grimly,,"[dark,whimsical,children's illustration]",0,0,0001-01-01,2,0001-01-01,2,,
827,Brothers,Grimm,1863,"[art nouveau,children's illustration]",0,0,0001-01-01,2,0001-01-01,2,,
828,John Atkinson,Grimshaw,1893,"[landscape,streetscape,romanticism,symbolism,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
829,Tracie,Grimwood,,"[colorful,scene,whimsical,children's illustration]",0,0,0001-01-01,2,0001-01-01,2,,
830,Henriette,Grindat,1986,"[photography,dark,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
831,Juan,Gris,1927,"[cubism,expressionism,angular]",0,0,0001-01-01,2,0001-01-01,2,,
832,Matt,Groening,,"[cartoon,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
833,Walter,Gropius,1969,"[bauhaus]",0,0,0001-01-01,2,0001-01-01,2,,
834,William,Gropper,1977,"[expressionism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
835,George,Grosz,1959,"[expressionism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
836,Matthias,Grunewald,1528,"[renaissance]",0,0,0001-01-01,2,0001-01-01,2,,
837,Rebecca,Guay,,"[watercolor,digital,fantasy]",0,0,0001-01-01,2,0001-01-01,2,,
838,Herve,Guibert,1991,"[photographer,monochromatic,high contrast,portrait,scene]",0,0,0001-01-01,2,0001-01-01,2,,
839,Jeannette,Guichard-Bunel,,"[surrealism,figurativism,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
840,Rick,Guidice,,"[space,sci-fi]",0,0,0001-01-01,2,0001-01-01,2,,
841,Armand,Guillaumin,1927,"[impressionism,fauvism,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
842,Subodh,Gupta,,"[sculpture,installation,photography]",0,0,0001-01-01,2,0001-01-01,2,,
843,James,Gurney,,"[fantasy,landscape,scene]",0,0,0001-01-01,2,0001-01-01,2,,
844,Philip,Guston,1980,"[abstract,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
845,Sir James,Guthrie,1930,"[realism,impressionism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
846,Renato,Guttuso,1987,"[expressionism,realism]",0,0,0001-01-01,2,0001-01-01,2,,
847,Charles,Gwathmey,2009,"[architecture,high contrast,angular,flat colors]",0,0,0001-01-01,2,0001-01-01,2,,
848,Hans,Haacke,,"[installation,photography,sculpture]",0,0,0001-01-01,2,0001-01-01,2,,
849,Ernst,Haas,1986,"[photography,streetscape,messy]",0,0,0001-01-01,2,0001-01-01,2,,
850,Arthur,Hacker,1919,"[impressionism,romanticism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
851,Zaha,Hadid,2016,"[architecture,angular]",0,0,0001-01-01,2,0001-01-01,2,,
852,Ernst,Haeckel,1919,"[biological,detailed,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
853,Willem,Haenraets,,"[watercolor,landscape,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
854,Robert,Hagan,,"[impressionism,landscape,scene,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
855,Sydney Prior,Hall,1922,"[scene,portrait,realism]",0,0,0001-01-01,2,0001-01-01,2,,
856,Frans,Hals,1666,"[baroque]",0,0,0001-01-01,2,0001-01-01,2,,
857,Philippe,Halsman,1979,"[photography,monochromatic,high contrast,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
858,Mao,Hamaguchi,,"[portrait,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
859,Maggi,Hambling,,"[portrait,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
860,Richard,Hamilton,2011,"[collage,scene]",0,0,0001-01-01,2,0001-01-01,2,,
861,Vilhelm,Hammershoi,1916,"[low contrast,scene,impressionism,symbolism]",0,0,0001-01-01,2,0001-01-01,2,,
862,Tom,Hammick,,"[landscape,figurativism,clean,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
863,David,Hammons,,"[installation,abstract,melanin]",0,0,0001-01-01,2,0001-01-01,2,,
864,Ren,Hang,2017,"[nudity,photography,character,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
865,Steve,Hanks,2015,"[watercolor,character,scene,realism,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
866,Erin,Hanson,,"[colorful,vibrant,impressionism,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
867,Asaf,Hanuka,,"[cartoon,comics]",0,0,0001-01-01,2,0001-01-01,2,,
868,Tomer,Hanuka,,"[cartoon,comics]",0,0,0001-01-01,2,0001-01-01,2,,
869,Bert,Hardy,1995,"[photography,monochromatic,scene]",0,0,0001-01-01,2,0001-01-01,2,,
870,David A.,Hardy,,"[space,landscape,sci-fi]",0,0,0001-01-01,2,0001-01-01,2,,
871,Heywood,Hardy,1933,"[romanticism,animals,scene]",0,0,0001-01-01,2,0001-01-01,2,,
872,Keith,Haring,1990,"[graffiti,street art,expressionism,flat colors,high contrast,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
873,Charley,Harper,2007,"[vibrant,flat colors,animals]",0,0,0001-01-01,2,0001-01-01,2,,
874,John,Harris,,"[dark,sci-fi,space,messy]",0,0,0001-01-01,2,0001-01-01,2,,
875,Lawren,Harris,1970,"[landscape,clean]",0,0,0001-01-01,2,0001-01-01,2,,
876,Florence,Harrison,1955,"[art nouveau,children's illustration,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
877,L. Birge,Harrison,1929,"[landspape,low contrast,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
878,Marsden,Hartley,1943,"[landscape,portrait,primitivism,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
879,Hans,Hartung,1989,"[abstract,dark]",0,0,0001-01-01,2,0001-01-01,2,,
880,Harold,Harvey,1941,"[watercolor,landscape,impressionism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
881,Ryohei,Hase,,"[magic realism,surrealism,fantasy,digital]",0,0,0001-01-01,2,0001-01-01,2,,
882,William Stanley,Haseltine,1900,"[luminism,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
883,Jacob,Hashimoto,,"[angular,abstract,installation]",0,0,0001-01-01,2,0001-01-01,2,,
884,Childe,Hassam,1935,"[impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
885,Ben,Hatke,,"[cartoon,children's illustration,character]",0,0,0001-01-01,2,0001-01-01,2,,
886,Mona,Hatoum,,"[installation,sculpture,photography]",0,0,0001-01-01,2,0001-01-01,2,,
